file,column,old,new,row
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 1.8064]","[0, 8.05933]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_gbm; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 5.90555]","[0, 8.96253]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_gbm; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 26.1928]","[0, 26.0539]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_gbm; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 1.65144]","[0, 1.59065]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_gbm_batched; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 0.26342]","[0, 1.17526]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_gbm_batched; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 0.861182]","[0, 1.30697]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_gbm_batched; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 3.81959]","[0, 3.79933]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_gbm_batched; unit=ms; full_fidelity_feasible=True
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 11.3248]","[0, 10.9079]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_gbm_batched; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 1.8064]","[0, 8.05933]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_gbm_batched; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 5.90555]","[0, 8.96253]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_gbm_batched; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 26.1928]","[0, 26.0539]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_gbm_batched; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 0.192499]",none,registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_mlp_reg; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 1.29684]","[0, 0.972629]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_mlp_reg; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 3.23196]","[0, 2.42144]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_mlp_reg; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 5.21775]","[0, 4.77196]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_mlp_reg; unit=ms; full_fidelity_feasible=True
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 1.32006]",none,registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_mlp_reg; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 8.89306]","[0, 6.66979]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_mlp_reg; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 22.1632]","[0, 16.605]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_mlp_reg; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 35.7807]","[0, 32.7237]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_mlp_reg; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,none,"[0, 0.618025]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_mlp_clf; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 0.526841]; [0.58763, 1.45894]","[0, 1.68184]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_mlp_clf; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[2.52276, 2.70512]","[0, 3.19144]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_mlp_clf; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,none,"[1.26644, 4.28565]; [6.79827, 6.8388]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_mlp_clf; unit=ms; full_fidelity_feasible=True
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,none,"[0, 4.2381]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_mlp_clf; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 3.6128]; [4.02967, 10.0047]","[0, 11.5332]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_mlp_clf; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[17.2998, 18.5504]","[0, 21.8853]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_mlp_clf; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,none,"[8.68463, 29.3888]; [46.6191, 46.897]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_mlp_clf; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 1.10434]",none,registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_gbm_reg; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 3.03947]","[0, 1.84394]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_gbm_reg; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 3.45486]","[0, 1.75276]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_gbm_reg; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 6.00801]","[0, 5.60275]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_gbm_reg; unit=ms; full_fidelity_feasible=True
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 7.57299]",none,registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_gbm_reg; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 20.8431]","[0, 12.6448]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_gbm_reg; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 23.6917]","[0, 12.0195]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_gbm_reg; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 41.1999]","[0, 38.4208]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_gbm_reg; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 0.13171]",none,registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_gbm_clf; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 0.0607893]","[0, 1.09421]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_gbm_clf; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 1.99592]","[0, 2.98881]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_gbm_clf; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 5.37985]","[0, 6.17011]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_gbm_clf; unit=ms; full_fidelity_feasible=True
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 0.903201]",none,registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_gbm_clf; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 0.416862]","[0, 7.50352]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_gbm_clf; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 13.687]","[0, 20.4957]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_gbm_clf; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 36.8923]","[0, 42.3115]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_gbm_clf; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[1.2146, 1.5234]; [1.54913, 1.93513]","[0.313943, 1.18887]; [1.80646, 1.93513]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=plan_ade; target=JC_ade; signal=R2_cnn_clf; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[1.24548, 1.29695]; [3.14973, 3.87025]","[2.04321, 2.14614]; [2.24907, 3.12399]; [3.14973, 3.20119]; [3.25266, 3.27839]; [3.74159, 3.87025]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=plan_ade; target=JC_ade; signal=R2_cnn_clf; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[1.71382, 1.84249]; [3.18061, 3.23207]; [5.08485, 5.80538]","[3.97833, 5.29072]; [5.67671, 5.80538]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=plan_ade; target=JC_ade; signal=R2_cnn_clf; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[5.58407, 5.71274]; [6.17593, 6.27887]; [7.05086, 7.10233]; [8.92937, 9.67563]","[7.56552, 9.28964]; [9.3411, 9.36683]; [9.54697, 9.67563]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=plan_ade; target=JC_ade; signal=R2_cnn_clf; unit=ms; full_fidelity_feasible=True
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[8.32911, 10.4467]; [10.6231, 13.2701]","[2.15286, 8.15265]; [12.3878, 13.2701]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=plan_ade; target=JC_ade; signal=R2_cnn_clf; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[8.54087, 8.8938]; [21.5992, 26.5402]","[14.0113, 14.7171]; [15.423, 21.4228]; [21.5992, 21.9521]; [22.3051, 22.4815]; [25.6579, 26.5402]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=plan_ade; target=JC_ade; signal=R2_cnn_clf; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[11.7525, 12.6348]; [21.811, 22.1639]; [34.8693, 39.8103]","[27.2814, 36.281]; [38.928, 39.8103]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=plan_ade; target=JC_ade; signal=R2_cnn_clf; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[38.2927, 39.1751]; [42.3514, 43.0573]; [48.3512, 48.7041]; [61.2331, 66.3505]","[51.8805, 63.7036]; [64.0565, 64.233]; [65.4682, 66.3505]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=plan_ade; target=JC_ade; signal=R2_cnn_clf; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[1.45134, 1.60574]",none,registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=plan_fde; target=JC_fde; signal=R2_cnn_clf; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 1.40503]",none,registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=plan_fde; target=JC_fde; signal=R2_cnn_clf; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 2.57323e-11]; [0.0514661, 0.771992]; [4.68342, 4.81208]","[0, 0.0257331]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=plan_fde; target=JC_fde; signal=R2_cnn_clf; unit=ms; full_fidelity_feasible=True
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[9.95258, 11.0114]",none,registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=plan_fde; target=JC_fde; signal=R2_cnn_clf; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 9.63495]",none,registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=plan_fde; target=JC_fde; signal=R2_cnn_clf; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 1.76456e-10]; [0.352928, 5.29393]; [32.1165, 32.9988]","[0, 0.176464]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=plan_fde; target=JC_fde; signal=R2_cnn_clf; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 5.50143]","[0, 5.5217]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=gate_ridge; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[1.06381, 3.79933]; [4.60986, 5.58248]","[1.28671, 4.08302]; [4.56933, 5.50143]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=gate_ridge; unit=ms; full_fidelity_feasible=True
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 37.726]","[0, 37.865]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=gate_ridge; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[7.29509, 26.0539]; [31.612, 38.2818]","[8.82358, 27.9992]; [31.3341, 37.726]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=gate_ridge; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 1.79328]","[0, 1.77302]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=gate_gbm; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 3.60683]","[0, 3.64736]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=gate_gbm; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 3.13065]; [3.35354, 5.5217]","[0, 5.33933]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=gate_gbm; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 7.0009]","[0, 7.2238]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=gate_gbm; unit=ms; full_fidelity_feasible=True
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 12.2974]","[0, 12.1585]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=gate_gbm; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 24.7338]","[0, 25.0117]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=gate_gbm; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 21.4684]; [22.9969, 37.865]","[0, 36.6144]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=gate_gbm; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 48.0086]","[0, 49.5371]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=gate_gbm; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 1.79328]","[0, 1.77302]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=gate_gbm_batched; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 3.60683]","[0, 3.64736]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=gate_gbm_batched; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 3.13065]; [3.35354, 5.5217]","[0, 5.33933]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=gate_gbm_batched; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 7.0009]","[0, 7.2238]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=gate_gbm_batched; unit=ms; full_fidelity_feasible=True
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 12.2974]","[0, 12.1585]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=gate_gbm_batched; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 24.7338]","[0, 25.0117]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=gate_gbm_batched; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 21.4684]; [22.9969, 37.865]","[0, 36.6144]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=gate_gbm_batched; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 48.0086]","[0, 49.5371]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=gate_gbm_batched; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 1.44881]","[0, 1.30697]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=R1_mlp_reg; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 1.66157]","[0, 1.98578]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=R1_mlp_reg; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 3.00907]","[0, 3.41433]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=R1_mlp_reg; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 5.05564]","[0, 3.41433]; [4.42749, 4.85301]; [5.03538, 6.14985]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=R1_mlp_reg; unit=ms; full_fidelity_feasible=True
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 9.93521]","[0, 8.96253]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=R1_mlp_reg; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 11.3942]","[0, 13.6175]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=R1_mlp_reg; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 20.6347]","[0, 23.4138]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=R1_mlp_reg; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 34.669]","[0, 23.4138]; [30.3615, 33.2795]; [34.5301, 42.1725]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=R1_mlp_reg; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 0.557235]","[0, 1.67171]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=R1_mlp_clf; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 1.94526]; [1.98578, 2.02631]; [2.16815, 2.22894]","[0, 2.59368]; [3.07999, 3.2421]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=R1_mlp_clf; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 2.42144]","[0, 4.26538]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=R1_mlp_clf; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 4.34644]; [4.54907, 5.23801]",none,registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=R1_mlp_clf; unit=ms; full_fidelity_feasible=True
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 3.82124]","[0, 11.4637]",registry_version=2026-09-23.1; track=nuScenes; geometry=mono; system=brake; target=J; signal=R1_mlp_clf; unit=mJ; full_fidelity_feasible=False
